recipeId,locationId,price,modifierId
1,13,11.95,1
1,21,9.09,
1,18,11.36,2
1,16,5.38,
1,11,9.43,
2,18,11.43,
2,7,11.7,1
3,11,2.32,
3,4,5.39,
3,23,9.18,
3,13,13.45,
4,15,6.19,2
4,20,12.42,2
5,23,13.66,
6,24,4.23,1
6,25,6.69,
6,19,13.12,
6,13,12.9,1
7,5,6.71,1
7,7,10.67,2
8,2,4.03,2
8,20,13.42,1
9,11,9.81,2
9,5,9.42,1
9,10,12.05,2
9,9,11.42,2
9,23,7.46,
9,20,10.03,1
10,24,10.07,
10,19,13.95,1
10,13,12.73,1
10,11,10.56,1
11,8,6.44,2
11,18,11.6,
11,24,10.85,1
11,14,11.73,
11,20,11.93,2
12,13,8.58,1
12,25,5.7,
12,20,12.67,
13,15,8.29,
13,23,4.56,
13,21,10.88,1
13,18,8.39,
14,15,6.22,1
14,9,10.63,1
14,24,8.59,
15,10,11.4,
16,16,11.69,2
16,10,4.28,2
16,24,11.86,
16,7,8.85,
17,1,6.15,1
17,17,9.66,
18,5,6.04,
18,24,11.58,
18,15,11,
18,23,12.05,
18,1,9.42,2
19,7,11.28,
19,16,4.47,
19,19,8.87,1
19,20,13.42,
20,23,10.61,2
20,4,4.09,
20,21,6.08,
20,17,9.01,
21,10,3.07,2
21,8,12.04,
21,16,2.63,1
22,15,11.82,
22,18,10.11,2
22,21,9.38,
23,17,13.2,2
23,19,10.08,
23,20,5.17,
24,22,8.83,
24,6,9.82,2
24,19,3.1,1
25,15,11.34,2
25,16,6.64,
25,1,13.4,2
25,7,10.17,
25,13,10.13,2
26,25,4.6,
26,23,4.08,
26,16,12.71,2
26,5,4.11,1
26,18,11.6,2
27,2,4.85,1
27,25,5.79,1
27,4,4.21,
27,21,12.28,1
27,11,4.33,
28,17,10.11,
28,15,4.42,2
28,18,2.99,
28,7,11.37,2
28,21,7.12,1
29,13,7.32,
29,3,3.87,2
29,14,11.41,2
29,19,5.31,
30,15,6.37,1
30,5,8.34,1
30,16,12.7,2
30,22,6.54,
31,10,2.4,2
31,11,6.74,2
31,1,7.75,1
31,22,8.82,2
32,19,12.71,1
32,11,4,1
33,24,10.52,
33,18,5.8,1
33,10,13.49,1
33,20,2.1,2
33,16,9.24,2
33,7,6.59,2
34,2,9.77,2
35,14,3.7,1
35,7,5.27,2
35,8,7.6,1
35,22,11.36,
35,13,10.98,
37,23,5.49,
37,8,13.52,2
37,12,3.96,
37,20,4.45,
38,5,8.89,
39,17,10.97,
39,13,4.16,
39,22,8.76,2
39,24,2.27,2
39,1,13.16,1
40,20,2.31,
41,24,12.38,
41,3,13.77,
41,15,7.21,2
41,16,4.19,
42,15,6.29,2
42,21,7.7,
42,17,12.43,
43,24,5.92,2
43,11,9.61,2
44,2,7.16,2
44,1,2.45,2
44,7,6.51,
44,3,8.76,1
44,19,11.75,
45,25,8.52,
46,20,8.26,
46,16,5.05,2
46,13,3.46,
47,3,5.17,
47,13,11.46,2
47,20,11.04,
47,16,4.05,
47,15,13.3,1
47,1,5.36,
48,22,7.81,
48,23,4.46,2
48,9,11.5,1
49,12,12.84,1
49,17,6.48,2
49,16,5.08,1
50,8,9,
50,7,5.72,1
51,20,6.5,
51,13,5.15,1
52,22,6.18,1
52,7,11.08,2
52,12,4.05,
53,17,6.01,1
53,20,4.66,2
53,23,4.5,
53,22,11.79,2
54,14,11.66,
54,16,12.68,2
55,4,5.46,
55,14,6.01,
55,12,7.71,
56,23,12.55,1
56,22,4.5,2
56,14,4.51,2
57,4,6.93,
57,14,10.86,
57,7,8.84,
57,10,11.18,2
57,21,13.02,2
58,3,8.93,
58,2,8.9,2
58,22,3.52,
58,21,3.04,
60,8,12.39,1
60,11,11.43,
61,21,13.57,
61,10,3.44,2
62,17,10.5,1
62,19,6.63,
62,13,2.29,2
62,6,4.1,2
62,23,5.22,2
62,24,10.32,
63,20,7.37,
63,10,4.03,
63,21,2.74,1
64,23,4.92,
64,19,11.4,
64,2,5.38,1
64,1,12.92,
65,23,2.71,1
65,21,5.92,1
65,25,11.7,2
65,17,4.8,
65,12,8.72,1
66,17,9.21,
67,3,6.71,1
67,17,7.71,2
67,4,12.65,
67,19,10.17,1
67,15,13.39,
68,22,7.68,1
68,5,7.01,
68,24,3.05,
69,6,9.23,
69,16,12.8,
69,2,6.58,
69,20,8.38,
70,11,11,1
70,22,9.32,1
70,10,13.55,
70,24,12.71,1
71,17,9.78,2
71,23,4.96,1
72,20,3.1,
72,24,12.2,
72,22,6.93,
72,1,12.2,1
72,25,4.79,2
73,8,9.61,2
73,13,2.39,
74,16,9.6,2
74,24,13.75,
74,15,13.15,
74,19,4.6,
75,11,8.13,1
75,9,8.14,2
75,19,7.82,
75,5,4.7,1
76,14,4.24,
77,19,3.8,
77,10,11.48,
77,15,13.8,1
77,13,5.64,2
77,2,2.74,
77,23,3.5,2
78,7,7.67,1
78,19,4.68,
79,15,6.88,
79,18,4.01,
79,23,5.12,1
80,20,5.51,1
80,16,12.92,1
80,4,4.39,1
81,22,2.16,
82,1,6.93,2
82,19,7.97,
82,4,12.5,2
83,6,5.68,
83,20,9.02,2
83,15,7.89,2
84,17,7.49,2
84,16,6.25,
84,10,3.52,1
85,18,5.72,
85,16,3.62,
85,23,13.48,1
85,19,2.82,
85,12,6.12,
86,1,4.03,
86,5,12.66,
86,2,7.9,2
86,6,3.77,2
86,4,11.4,
86,16,5.88,
87,12,11.22,2
87,8,4.17,2
87,22,2.97,
88,13,11.18,1
88,5,2.39,1
88,4,4.89,1
88,9,5.36,2
89,8,13.43,2
89,21,4.31,1
89,4,11.29,2
90,20,13.17,
90,11,3.32,
90,25,6.23,
90,17,12.75,2
90,7,11.31,
91,16,10.83,2
92,10,13.94,
92,24,2.19,1
92,9,4.88,
94,18,8.51,
94,5,9.18,1
94,3,3.37,1
94,10,5.06,
95,20,2.4,1
95,10,12.17,1
95,8,10.81,
96,21,6.23,1
96,24,2.92,
96,15,11.43,
97,1,3.7,
97,8,6.21,2
97,16,4.31,1
97,4,2.54,1
97,21,13.19,
98,21,7.81,
98,22,9.28,1
98,24,13.1,1
98,8,7.93,
99,24,3.44,1
99,1,11.47,2
100,11,4.46,1
100,1,12.28,
100,2,10.55,
100,8,13.92,
101,23,13.69,1
101,7,9.12,
101,21,10.32,
101,5,3.75,2
101,22,9.78,
101,19,6.31,
103,17,13.26,1
103,3,3.44,1
103,5,12.24,2
103,16,11.21,2
103,21,3.26,1
104,10,13.52,
104,8,11.46,2
104,21,6.55,2
104,9,8.68,2
104,19,10.55,
104,13,9.36,
104,24,3.49,1
105,23,4.44,
105,22,12.24,
105,16,8.26,
105,24,6.98,2
105,14,2.31,
105,13,9.23,
106,13,2.47,
106,11,2.75,1
107,17,6.11,
107,18,9.73,
107,24,5.74,
107,9,11.29,1
108,21,4.74,
108,1,5.54,
108,13,4.95,
108,16,2.56,2
108,3,13.32,2
108,7,10.58,2
109,20,5.15,
109,24,2.24,2
109,8,11.75,
109,23,7.85,
109,10,13.36,1
111,5,2.39,1
111,13,3.89,1
111,7,11.05,1
111,9,12.21,1
111,15,8.73,
111,8,8.81,
112,23,8.78,2
112,19,13.8,2
112,16,9.14,
112,5,8.27,2
112,20,11.59,
112,22,6.7,
112,9,10,
113,8,7.36,1
113,16,2.94,2
113,18,9.38,2
114,24,12.71,1
115,19,8.17,2
115,4,9.14,
115,2,6.79,
115,11,13.66,1
116,15,10.56,2
117,10,3.76,
117,17,9.32,2
117,12,7.23,1
118,1,7.34,1
118,11,10.29,
118,3,7.64,
118,13,10.86,
118,22,10.61,
118,9,6.48,
119,17,12.58,
119,4,2.45,
119,9,12.74,1
119,12,8.16,
119,21,6.08,
120,10,11.22,2
121,24,2.24,
121,2,11.58,2
121,1,5.94,
121,9,7.2,
121,10,8.1,2
122,13,2.31,
122,23,9.78,1
123,9,5.34,1
123,19,2.92,1
123,2,3.96,
123,13,12.37,
123,6,2.58,1
124,13,12.09,1
124,5,10.12,2
124,15,5.84,2
124,19,4.94,1
124,11,7.1,
125,9,6.57,1
125,4,13.76,
125,15,8.81,
125,22,2.2,
126,10,3.56,
127,16,4.47,
127,19,6.07,2
127,24,7.83,
127,20,2.52,2
128,22,8.94,2
128,17,8.33,
128,4,9.47,
129,3,9.99,2
130,16,5.52,
130,23,3.39,1
131,13,7.2,1
131,14,4.21,
131,1,6.7,1
131,7,3.69,1
131,3,5.14,1
131,23,11.91,
132,15,2.91,
132,1,10.04,1
133,4,7.24,
133,7,4.06,1
134,16,7.04,1
134,7,7.42,1
134,2,2.25,
135,5,3,1
135,13,7.53,
135,20,5.62,1
136,11,10.08,
136,17,9.26,1
136,3,7.45,2
136,18,2.2,1
136,15,3.57,
136,23,2.76,2
137,15,8.6,1
