name
The Kinks
Blondie
Thornley
Iggy Pop
Pat Metheny
Prince
Arctic Monkeys
Captain Beefheart
Elvis Presley
Brian Wilson
Jeff Beck
AC/DC
Grace Jones
Chrissie Hynde
Johnny Marr
Red Hot Chili Peppers
Radiohead
Phish
Duke Ellington
Siouxsie and The Banshees
Muse
Chuck Berry
Offspring
Ozzy Osbourne
The Jam
Ryan Adams
Max Roach
Sex Pistols
The Who
The Ramones
David Bowie
Cliff Richard (and the Shadows)
Ella Fitzgerald
Jeff Buckley
White Stripes
Frightened Rabbit
Carlos Santana
Sinead O'connor
Billy Idol
Led Zeppelin
Marilyn Manson
Dizzy Gillespie
Thelonius Monk
Guns N' Roses
Chris Isaak
Tom Waits
Patti Smith
Nick Cave
Alex Chilton
Eric Clapton
George Michael
Primal Scream
Bruce Springsteen
Pete Townshend
Status Quo
Roy Hargrove
Tom Robinson
Pearl Jam
Blinker The Star
Program The Dead
Chic
Beck
Rod Stewart
Cortinas
Leonard Cohen
Adam and the Ants
Buzzcocks
Lenny Kravitz
The La's
Nirvana
The Smiths
Jimi Hendrix
Manic Street Preachers
Muddy Waters
U2
Phil Collins
Johnny Borrell
Keith Richards
John Coltrane
The Libertines
Nigel Kennedy
Afrika Bambaataa
Sonic Youth
Pulp
Queen
The Undertones
Miles Davis
Joy Division
Al Foster
Coldplay
The Birthday Party
Paramore
Deepest Blue
Foo Fighters
Fats Domino
K.D Lang
New Order
Rory Gallagher
Annie Lennox
Blur
The Rolling Stones
Green Day
The Yardbirds
O.A.R.
Elton John
Frank Sinatra
Bob Marley (and the Wailers)
Maroon 5
Herbie Hancock
Paul Weller
Rick Wright
Ian Dury
Pink Floyd
Liam Gallagher
The Specials
Madness
Syd Barrett
Simply Red
Björk
The Clash
The Slits
The Beatles
The
Roxy Music
Hugh Masekela
Keith Moon
Kate Bush
The Cranberries
Cream
Madonna
Bauhaus
Van Morrison
R.E.M.
Ed Sheeran
Cat Anderson
The Pretenders
Stone Roses
Michael Jackson
Marc Bolan
Amy Winehouse
The Cramps
Rufus Wainwright
Noel Gallagher
Devo
Morrissey
Dr Feelgood
Cat Stevens
The Cure
David Gilmour
Nina Simone
Flaming Lips
B.B. King
Frank Zappa
Oasis
The Mars Volta
PJ Harvey
Florence and the Machine
Kiss
Cootie Williams
Joni Mitchell
Mumford and Sons
The Police
Bob Dylan
The Faces
Marianne Faithfull
Horace Silver
Johnny Cash
John Lydon
Elvis Costello
James Brown
Yumi Matsutoya
Tina Turner
Catherine Wheel
Neil Young
Kasabian
Run-D.M.C.
Tom Jones
Thin Lizzy
Alan Parsons
Squeeze
